,Unnamed: 0,Equipe_Dom,Equipe_Ext,Score,Journee,Region
41,41,Mandelieu-la-Nap.,Cannes,0 - 1,6,Corse-Medit
42,42,Rousset Ste-Vict.,Nice 2,2 - 1,7,Corse-Medit
43,43,AC Ajaccio (2),Côte Bleue,0 - 0,7,Corse-Medit
44,44,Athletico Marseille,Lucciana,1 - 2,7,Corse-Medit
45,45,Villefranche Sjb,Endoume,0 - 0,7,Corse-Medit
46,46,Le Cannet,Mandelieu-la-Nap.,5 - 2,7,Corse-Medit
47,47,Cannes,GFC Ajaccio,3 - 1,7,Corse-Medit
48,48,Furiani Agli.,Istres,3 - 1,7,Corse-Medit
49,49,Côte Bleue,Villefranche Sjb,1 - 0,8,Corse-Medit
50,50,Mandelieu-la-Nap.,Athletico Marseille,1 - 4,8,Corse-Medit
51,51,Nice 2,Furiani Agli.,1 - 3,8,Corse-Medit
52,52,GFC Ajaccio,Le Cannet,6 - 1,8,Corse-Medit
53,53,Istres,Cannes,2 - 0,8,Corse-Medit
54,54,Corte,Rousset Ste-Vict.,0 - 1,8,Corse-Medit
55,55,Lucciana,AC Ajaccio (2),4 - 1,8,Corse-Medit
56,56,Villefranche Sjb,Lucciana,0 - 1,9,Corse-Medit
57,57,Furiani Agli.,Corte,6 - 0,9,Corse-Medit
58,58,Le Cannet,Istres,4 - 0,9,Corse-Medit
59,59,Cannes,Nice 2,1 - 0,9,Corse-Medit
60,60,Endoume,Côte Bleue,1 - 2,9,Corse-Medit
61,61,AC Ajaccio (2),Mandelieu-la-Nap.,2 - 0,9,Corse-Medit
62,62,Athletico Marseille,GFC Ajaccio,1 - 2,9,Corse-Medit
63,63,Rousset Ste-Vict.,Furiani Agli.,0 - 2,10,Corse-Medit
64,64,Istres,Athletico Marseille,2 - 1,10,Corse-Medit
65,65,Mandelieu-la-Nap.,Villefranche Sjb,0 - 5,10,Corse-Medit
66,66,Lucciana,Endoume,2 - 0,10,Corse-Medit
67,67,Nice 2,Le Cannet,0 - 2,10,Corse-Medit
68,68,Corte,Cannes,1 - 0,10,Corse-Medit
69,69,GFC Ajaccio,AC Ajaccio (2),1 - 1,10,Corse-Medit
70,70,Le Cannet,Corte,0 - 0,11,Corse-Medit
71,71,Villefranche Sjb,GFC Ajaccio,0 - 0,11,Corse-Medit
72,72,Athletico Marseille,Nice 2,1 - 3,11,Corse-Medit
73,73,Côte Bleue,Lucciana,0 - 1,11,Corse-Medit
74,74,AC Ajaccio (2),Istres,2 - 0,11,Corse-Medit
75,75,Cannes,Rousset Ste-Vict.,3 - 0,11,Corse-Medit
76,76,Endoume,Mandelieu-la-Nap.,3 - 1,11,Corse-Medit
77,77,Furiani Agli.,Cannes,2 - 2,12,Corse-Medit
78,78,Mandelieu-la-Nap.,Côte Bleue,0 - 2,12,Corse-Medit
79,79,Nice 2,AC Ajaccio (2),1 - 0,12,Corse-Medit
80,80,Istres,Villefranche Sjb,4 - 1,12,Corse-Medit
81,81,Rousset Ste-Vict.,Le Cannet,1 - 2,12,Corse-Medit
82,82,GFC Ajaccio,Endoume,0 - 1,12,Corse-Medit
83,83,Corte,Athletico Marseille,3 - 0    (Forfait),12,Corse-Medit
84,84,Le Cannet,Furiani Agli.,1 - 1,13,Corse-Medit
85,85,Villefranche Sjb,Nice 2,2 - 2,13,Corse-Medit
86,86,Endoume,Istres,1 - 0,13,Corse-Medit
87,87,Athletico Marseille,Rousset Ste-Vict.,1 - 1,13,Corse-Medit
88,88,AC Ajaccio (2),Corte,1 - 0,13,Corse-Medit
89,89,Lucciana,Mandelieu-la-Nap.,5 - 1,13,Corse-Medit
90,90,Côte Bleue,GFC Ajaccio,0 - 1,13,Corse-Medit
91,91,Furiani Agli.,Athletico Marseille,2 - 1,14,Corse-Medit
92,92,Nice 2,Endoume,1 - 1,14,Corse-Medit
93,93,Istres,Côte Bleue,1 - 2,14,Corse-Medit
94,94,Cannes,Le Cannet,0 - 1,14,Corse-Medit
95,95,Corte,Villefranche Sjb,2 - 0,14,Corse-Medit
96,96,Rousset Ste-Vict.,AC Ajaccio (2),2 - 1,14,Corse-Medit
97,97,GFC Ajaccio,Lucciana,1 - 0,14,Corse-Medit
98,98,Athletico Marseille,Cannes,1 - 0,15,Corse-Medit
99,99,Côte Bleue,Nice 2,1 - 2,15,Corse-Medit
100,100,Lucciana,Istres,0 - 1,15,Corse-Medit
101,101,Mandelieu-la-Nap.,GFC Ajaccio,1 - 2,15,Corse-Medit
102,102,Villefranche Sjb,Rousset Ste-Vict.,0 - 1,15,Corse-Medit
103,103,Endoume,Corte,0 - 1,15,Corse-Medit
104,104,AC Ajaccio (2),Furiani Agli.,0 - 2,15,Corse-Medit
105,105,Furiani Agli.,Endoume,6 - 2,16,Corse-Medit
106,106,Le Cannet,AC Ajaccio (2),2 - 0,16,Corse-Medit
107,107,Nice 2,Mandelieu-la-Nap.,4 - 2,16,Corse-Medit
108,108,Istres,GFC Ajaccio,1 - 1,16,Corse-Medit
109,109,Cannes,Villefranche Sjb,5 - 0,16,Corse-Medit
110,110,Rousset Ste-Vict.,Côte Bleue,1 - 1,16,Corse-Medit
111,111,Corte,Lucciana,1 - 1,16,Corse-Medit
112,112,Mandelieu-la-Nap.,Corte,2 - 3,17,Corse-Medit
113,113,Côte Bleue,Furiani Agli.,0 - 1,17,Corse-Medit
114,114,Villefranche Sjb,Le Cannet,1 - 1,17,Corse-Medit
115,115,GFC Ajaccio,Nice 2,0 - 0,17,Corse-Medit
116,116,Endoume,Cannes,0 - 1,17,Corse-Medit
117,117,AC Ajaccio (2),Athletico Marseille,1 - 4,17,Corse-Medit
118,118,Lucciana,Rousset Ste-Vict.,1 - 3,17,Corse-Medit
119,119,Furiani Agli.,Lucciana,1 - 0,18,Corse-Medit
120,120,Athletico Marseille,Villefranche Sjb,2 - 1,18,Corse-Medit
121,121,Le Cannet,Endoume,3 - 0,18,Corse-Medit
122,122,Nice 2,Istres,1 - 1,18,Corse-Medit
123,123,Cannes,Côte Bleue,4 - 0,18,Corse-Medit
124,124,Rousset Ste-Vict.,Mandelieu-la-Nap.,4 - 0,18,Corse-Medit
125,125,Corte,GFC Ajaccio,0 - 2,18,Corse-Medit
126,126,Istres,Corte,5 - 0,19,Corse-Medit
127,127,Mandelieu-la-Nap.,Furiani Agli.,1 - 4,19,Corse-Medit
128,128,Lucciana,Cannes,3 - 0,19,Corse-Medit
129,129,Endoume,Athletico Marseille,1 - 1,19,Corse-Medit
130,130,GFC Ajaccio,Rousset Ste-Vict.,1 - 1,19,Corse-Medit
131,131,Côte Bleue,Le Cannet,0 - 5,19,Corse-Medit
132,132,Villefranche Sjb,AC Ajaccio (2),0 - 4,19,Corse-Medit
133,133,Le Cannet,Lucciana,1 - 3,20,Corse-Medit
134,134,Corte,Nice 2,1 - 2,20,Corse-Medit
135,135,Furiani Agli.,GFC Ajaccio,2 - 1,20,Corse-Medit
136,136,Cannes,Mandelieu-la-Nap.,3 - 0,20,Corse-Medit
137,137,Rousset Ste-Vict.,Istres,1 - 1,20,Corse-Medit
138,138,AC Ajaccio (2),Endoume,2 - 1,20,Corse-Medit
139,139,Athletico Marseille,Côte Bleue,4 - 3,20,Corse-Medit
140,140,Istres,Furiani Agli.,0 - 1,21,Corse-Medit
141,141,Mandelieu-la-Nap.,Le Cannet,1 - 4,21,Corse-Medit
142,142,Endoume,Villefranche Sjb,2 - 0,21,Corse-Medit
143,143,Lucciana,Athletico Marseille,5 - 4,21,Corse-Medit
144,144,Nice 2,Rousset Ste-Vict.,1 - 1,21,Corse-Medit
145,145,GFC Ajaccio,Cannes,0 - 1,21,Corse-Medit
146,146,Côte Bleue,AC Ajaccio (2),0 - 0,21,Corse-Medit
147,147,Furiani Agli.,Nice 2,1 - 0,22,Corse-Medit
148,148,Rousset Ste-Vict.,Corte,5 - 1,22,Corse-Medit
149,149,Villefranche Sjb,Côte Bleue,0 - 2,22,Corse-Medit
150,150,Le Cannet,GFC Ajaccio,1 - 0,22,Corse-Medit
151,151,Athletico Marseille,Mandelieu-la-Nap.,7 - 1,22,Corse-Medit
152,152,AC Ajaccio (2),Lucciana,1 - 1,22,Corse-Medit
153,153,Cannes,Istres,2 - 1,22,Corse-Medit
154,154,Lucciana,Villefranche Sjb,4 - 0,23,Corse-Medit
155,155,Côte Bleue,Endoume,3 - 0,23,Corse-Medit
156,156,GFC Ajaccio,Athletico Marseille,3 - 2,23,Corse-Medit
157,157,Istres,Le Cannet,1 - 1,23,Corse-Medit
158,158,Nice 2,Cannes,2 - 1,23,Corse-Medit
159,159,Corte,Furiani Agli.,1 - 0,23,Corse-Medit
160,160,Mandelieu-la-Nap.,AC Ajaccio (2),0 - 2,23,Corse-Medit
161,161,Cannes,Corte,1 - 0,24,Corse-Medit
162,162,Furiani Agli.,Rousset Ste-Vict.,2 - 2,24,Corse-Medit
163,163,Villefranche Sjb,Mandelieu-la-Nap.,1 - 3,24,Corse-Medit
164,164,Le Cannet,Nice 2,1 - 1,24,Corse-Medit
165,165,Athletico Marseille,Istres,1 - 1,24,Corse-Medit
166,166,Endoume,Lucciana,2 - 3,24,Corse-Medit
167,167,AC Ajaccio (2),GFC Ajaccio,1 - 1,24,Corse-Medit
168,168,GFC Ajaccio,Villefranche Sjb,5 - 1,25,Corse-Medit
169,169,Corte,Le Cannet,2 - 0,25,Corse-Medit
170,170,Nice 2,Athletico Marseille,4 - 1,25,Corse-Medit
171,171,Istres,AC Ajaccio (2),0 - 2,25,Corse-Medit
172,172,Rousset Ste-Vict.,Cannes,2 - 5,25,Corse-Medit
173,173,Lucciana,Côte Bleue,0 - 1,25,Corse-Medit
174,174,Mandelieu-la-Nap.,Endoume,2 - 7,25,Corse-Medit
175,175,Côte Bleue,Mandelieu-la-Nap.,5 - 1,26,Corse-Medit
176,176,Endoume,GFC Ajaccio,1 - 3,26,Corse-Medit
177,177,Villefranche Sjb,Istres,1 - 1,26,Corse-Medit
178,178,Athletico Marseille,Corte,1 - 3,26,Corse-Medit
179,179,Cannes,Furiani Agli.,2 - 1,26,Corse-Medit
180,180,Le Cannet,Rousset Ste-Vict.,1 - 1,26,Corse-Medit
181,181,AC Ajaccio (2),Nice 2,0 - 1,26,Corse-Medit
182,182,Furiani Agli.,Le Cannet,3 - 2,27,Corse-Medit
183,183,GFC Ajaccio,Côte Bleue,2 - 1,27,Corse-Medit
184,184,Nice 2,Villefranche Sjb,7 - 2,27,Corse-Medit
185,185,Istres,Endoume,3 - 0,27,Corse-Medit
186,186,Rousset Ste-Vict.,Athletico Marseille,2 - 1,27,Corse-Medit
187,187,Mandelieu-la-Nap.,Lucciana,0 - 4,27,Corse-Medit
188,188,Corte,AC Ajaccio (2),3 - 0,27,Corse-Medit
189,189,Villefranche Sjb,Corte,1 - 6,28,Corse-Medit
190,190,Côte Bleue,Istres,6 - 1,28,Corse-Medit
191,191,Endoume,Nice 2,0 - 2,28,Corse-Medit
192,192,AC Ajaccio (2),Rousset Ste-Vict.,7 - 0,28,Corse-Medit
193,193,Lucciana,GFC Ajaccio,3 - 2,28,Corse-Medit
194,194,Athletico Marseille,Furiani Agli.,1 - 4,28,Corse-Medit
195,195,Le Cannet,Cannes,0 - 1,28,Corse-Medit
0,0,Paron,Besançon Foot,1 - 0,1,Bourg-Fr Comté
1,1,St-Apollinaire,Morteau Montleb,1 - 1,1,Bourg-Fr Comté
2,2,Gueugnon,Sochaux (2),1 - 1,1,Bourg-Fr Comté
3,3,Racing Besançon,Montceau-lès-M,3 - 2,1,Bourg-Fr Comté
4,4,Selongey,Jura Dolois,1 - 1,1,Bourg-Fr Comté
5,5,Dijon FCO (2),Pontarlier,1 - 1,1,Bourg-Fr Comté
6,6,Valdahon-Vercel,Grandvillars,1 - 2,1,Bourg-Fr Comté
7,7,Sochaux (2),Paron,5 - 0,2,Bourg-Fr Comté
8,8,Besançon Foot,Dijon FCO (2),2 - 0,2,Bourg-Fr Comté
9,9,Grandvillars,Racing Besançon,0 - 3,2,Bourg-Fr Comté
10,10,Jura Dolois,Valdahon-Vercel,2 - 1,2,Bourg-Fr Comté
11,11,Montceau-lès-M,Gueugnon,0 - 3,2,Bourg-Fr Comté
12,12,Pontarlier,St-Apollinaire,4 - 3,2,Bourg-Fr Comté
13,13,Selongey,Morteau Montleb,2 - 0,2,Bourg-Fr Comté
14,14,Paron,Montceau-lès-M,1 - 0,3,Bourg-Fr Comté
15,15,St-Apollinaire,Besançon Foot,2 - 1,3,Bourg-Fr Comté
16,16,Gueugnon,Grandvillars,1 - 0,3,Bourg-Fr Comté
17,17,Morteau Montleb,Pontarlier,1 - 2,3,Bourg-Fr Comté
18,18,Racing Besançon,Jura Dolois,1 - 0,3,Bourg-Fr Comté
19,19,Dijon FCO (2),Sochaux (2),2 - 0,3,Bourg-Fr Comté
20,20,Valdahon-Vercel,Selongey,1 - 2,3,Bourg-Fr Comté
21,21,Besançon Foot,Morteau Montleb,1 - 1,4,Bourg-Fr Comté
22,22,Grandvillars,Paron,1 - 0,4,Bourg-Fr Comté
23,23,Jura Dolois,Gueugnon,0 - 0,4,Bourg-Fr Comté
24,24,Montceau-lès-M,Dijon FCO (2),0 - 0,4,Bourg-Fr Comté
25,25,Selongey,Pontarlier,0 - 0,4,Bourg-Fr Comté
26,26,Sochaux (2),St-Apollinaire,3 - 0,4,Bourg-Fr Comté
27,27,Valdahon-Vercel,Racing Besançon,1 - 4,4,Bourg-Fr Comté
28,28,Paron,Jura Dolois,0 - 2,5,Bourg-Fr Comté
29,29,St-Apollinaire,Montceau-lès-M,1 - 0,5,Bourg-Fr Comté
30,30,Dijon FCO (2),Grandvillars,1 - 0,5,Bourg-Fr Comté
31,31,Gueugnon,Valdahon-Vercel,3 - 1,5,Bourg-Fr Comté
32,32,Morteau Montleb,Sochaux (2),1 - 1,5,Bourg-Fr Comté
33,33,Pontarlier,Besançon Foot,2 - 3,5,Bourg-Fr Comté
34,34,Racing Besançon,Selongey,2 - 1,5,Bourg-Fr Comté
35,35,Grandvillars,St-Apollinaire,1 - 0,6,Bourg-Fr Comté
36,36,Jura Dolois,Dijon FCO (2),2 - 1,6,Bourg-Fr Comté
37,37,Montceau-lès-M,Morteau Montleb,2 - 1,6,Bourg-Fr Comté
38,38,Racing Besançon,Gueugnon,1 - 0,6,Bourg-Fr Comté
39,39,Selongey,Besançon Foot,4 - 0,6,Bourg-Fr Comté
40,40,Sochaux (2),Pontarlier,4 - 1,6,Bourg-Fr Comté
41,41,Valdahon-Vercel,Paron,1 - 1,6,Bourg-Fr Comté
42,42,St-Apollinaire,Jura Dolois,0 - 5,7,Bourg-Fr Comté
43,43,Besançon Foot,Sochaux (2),1 - 0,7,Bourg-Fr Comté
44,44,Gueugnon,Selongey,4 - 0,7,Bourg-Fr Comté
45,45,Morteau Montleb,Grandvillars,2 - 1,7,Bourg-Fr Comté
46,46,Pontarlier,Montceau-lès-M,0 - 1,7,Bourg-Fr Comté
47,47,Dijon FCO (2),Valdahon-Vercel,4 - 0,7,Bourg-Fr Comté
48,48,Paron,Racing Besançon,1 - 2,7,Bourg-Fr Comté
49,49,Grandvillars,Pontarlier,4 - 2,8,Bourg-Fr Comté
50,50,Gueugnon,Paron,4 - 0,8,Bourg-Fr Comté
51,51,Jura Dolois,Morteau Montleb,1 - 1,8,Bourg-Fr Comté
52,52,Montceau-lès-M,Besançon Foot,2 - 3,8,Bourg-Fr Comté
53,53,Racing Besançon,Dijon FCO (2),3 - 1,8,Bourg-Fr Comté
54,54,Selongey,Sochaux (2),1 - 2,8,Bourg-Fr Comté
55,55,Valdahon-Vercel,St-Apollinaire,1 - 2,8,Bourg-Fr Comté
56,56,Pontarlier,Jura Dolois,0 - 0,9,Bourg-Fr Comté
57,57,Besançon Foot,Grandvillars,1 - 2,9,Bourg-Fr Comté
58,58,Dijon FCO (2),Gueugnon,1 - 0,9,Bourg-Fr Comté
59,59,Paron,Selongey,1 - 4,9,Bourg-Fr Comté
60,60,St-Apollinaire,Racing Besançon,0 - 2,9,Bourg-Fr Comté
61,61,Sochaux (2),Montceau-lès-M,3 - 1,9,Bourg-Fr Comté
62,62,Morteau Montleb,Valdahon-Vercel,2 - 0,9,Bourg-Fr Comté
63,63,Jura Dolois,Besançon Foot,2 - 2,10,Bourg-Fr Comté
64,64,Racing Besançon,Morteau Montleb,4 - 1,10,Bourg-Fr Comté
65,65,Paron,Dijon FCO (2),2 - 1,10,Bourg-Fr Comté
66,66,Gueugnon,St-Apollinaire,0 - 0,10,Bourg-Fr Comté
67,67,Selongey,Montceau-lès-M,1 - 1,10,Bourg-Fr Comté
68,68,Grandvillars,Sochaux (2),1 - 3,10,Bourg-Fr Comté
69,69,Pontarlier,Valdahon-Vercel,2 - 0,10,Bourg-Fr Comté
70,70,St-Apollinaire,Paron,1 - 1,11,Bourg-Fr Comté
71,71,Besançon Foot,Valdahon-Vercel,2 - 1,11,Bourg-Fr Comté
72,72,Dijon FCO (2),Selongey,1 - 1,11,Bourg-Fr Comté
73,73,Sochaux (2),Jura Dolois,4 - 0,11,Bourg-Fr Comté
74,74,Montceau-lès-M,Grandvillars,0 - 2,11,Bourg-Fr Comté
75,75,Pontarlier,Racing Besançon,1 - 2,11,Bourg-Fr Comté
76,76,Morteau Montleb,Gueugnon,0 - 1,11,Bourg-Fr Comté
77,77,Racing Besançon,Besançon Foot,3 - 3,12,Bourg-Fr Comté
78,78,Grandvillars,Selongey,2 - 1,12,Bourg-Fr Comté
79,79,Jura Dolois,Montceau-lès-M,1 - 0,12,Bourg-Fr Comté
80,80,Dijon FCO (2),St-Apollinaire,3 - 1,12,Bourg-Fr Comté
81,81,Paron,Morteau Montleb,2 - 1,12,Bourg-Fr Comté
82,82,Sochaux (2),Valdahon-Vercel,3 - 1,12,Bourg-Fr Comté
83,83,Gueugnon,Pontarlier,3 - 0,12,Bourg-Fr Comté
84,84,Besançon Foot,Gueugnon,1 - 1,13,Bourg-Fr Comté
85,85,Grandvillars,Jura Dolois,3 - 0,13,Bourg-Fr Comté
86,86,Selongey,St-Apollinaire,4 - 1,13,Bourg-Fr Comté
87,87,Dijon FCO (2),Morteau Montleb,3 - 1,13,Bourg-Fr Comté
88,88,Paron,Pontarlier,1 - 4,13,Bourg-Fr Comté
89,89,Sochaux (2),Racing Besançon,2 - 2,13,Bourg-Fr Comté
90,90,Montceau-lès-M,Valdahon-Vercel,3 - 0,13,Bourg-Fr Comté
91,91,St-Apollinaire,Pontarlier,2 - 2,14,Bourg-Fr Comté
92,92,Morteau Montleb,Selongey,1 - 0,14,Bourg-Fr Comté
93,93,Gueugnon,Montceau-lès-M,4 - 0,14,Bourg-Fr Comté
94,94,Racing Besançon,Grandvillars,1 - 1,14,Bourg-Fr Comté
95,95,Dijon FCO (2),Besançon Foot,1 - 1,14,Bourg-Fr Comté
96,96,Paron,Sochaux (2),0 - 2,14,Bourg-Fr Comté
97,97,Valdahon-Vercel,Jura Dolois,0 - 1,14,Bourg-Fr Comté
98,98,Pontarlier,Morteau Montleb,1 - 0,15,Bourg-Fr Comté
99,99,Besançon Foot,St-Apollinaire,0 - 1,15,Bourg-Fr Comté
100,100,Grandvillars,Gueugnon,1 - 3,15,Bourg-Fr Comté
101,101,Jura Dolois,Racing Besançon,4 - 0,15,Bourg-Fr Comté
102,102,Montceau-lès-M,Paron,2 - 1,15,Bourg-Fr Comté
103,103,Selongey,Valdahon-Vercel,6 - 2,15,Bourg-Fr Comté
104,104,Sochaux (2),Dijon FCO (2),3 - 5,15,Bourg-Fr Comté
105,105,Pontarlier,Selongey,0 - 3,16,Bourg-Fr Comté
106,106,Gueugnon,Jura Dolois,4 - 1,16,Bourg-Fr Comté
107,107,Morteau Montleb,Besançon Foot,1 - 2,16,Bourg-Fr Comté
108,108,Racing Besançon,Valdahon-Vercel,0 - 2,16,Bourg-Fr Comté
109,109,Paron,Grandvillars,0 - 2,16,Bourg-Fr Comté
110,110,St-Apollinaire,Sochaux (2),0 - 0,16,Bourg-Fr Comté
111,111,Dijon FCO (2),Montceau-lès-M,0 - 0,16,Bourg-Fr Comté
112,112,Besançon Foot,Pontarlier,0 - 1,17,Bourg-Fr Comté
113,113,Grandvillars,Dijon FCO (2),1 - 0,17,Bourg-Fr Comté
114,114,Jura Dolois,Paron,2 - 1,17,Bourg-Fr Comté
115,115,Montceau-lès-M,St-Apollinaire,0 - 1,17,Bourg-Fr Comté
116,116,Selongey,Racing Besançon,0 - 1,17,Bourg-Fr Comté
117,117,Sochaux (2),Morteau Montleb,2 - 1,17,Bourg-Fr Comté
118,118,Valdahon-Vercel,Gueugnon,1 - 0,17,Bourg-Fr Comté
119,119,St-Apollinaire,Grandvillars,2 - 1,18,Bourg-Fr Comté
120,120,Dijon FCO (2),Jura Dolois,0 - 1,18,Bourg-Fr Comté
121,121,Besançon Foot,Selongey,1 - 1,18,Bourg-Fr Comté
122,122,Gueugnon,Racing Besançon,0 - 0,18,Bourg-Fr Comté
123,123,Morteau Montleb,Montceau-lès-M,2 - 2,18,Bourg-Fr Comté
124,124,Pontarlier,Sochaux (2),0 - 2,18,Bourg-Fr Comté
125,125,Paron,Valdahon-Vercel,2 - 0,18,Bourg-Fr Comté
126,126,Grandvillars,Morteau Montleb,1 - 2,19,Bourg-Fr Comté
127,127,Jura Dolois,St-Apollinaire,6 - 0,19,Bourg-Fr Comté
128,128,Montceau-lès-M,Pontarlier,2 - 1,19,Bourg-Fr Comté
129,129,Racing Besançon,Paron,3 - 2,19,Bourg-Fr Comté
130,130,Selongey,Gueugnon,1 - 2,19,Bourg-Fr Comté
131,131,Sochaux (2),Besançon Foot,0 - 1,19,Bourg-Fr Comté
132,132,Valdahon-Vercel,Dijon FCO (2),0 - 2,19,Bourg-Fr Comté
133,133,Paron,Gueugnon,0 - 1,20,Bourg-Fr Comté
134,134,Sochaux (2),Selongey,2 - 1,20,Bourg-Fr Comté
135,135,St-Apollinaire,Valdahon-Vercel,2 - 2,20,Bourg-Fr Comté
136,136,Besançon Foot,Montceau-lès-M,0 - 5,20,Bourg-Fr Comté
137,137,Dijon FCO (2),Racing Besançon,1 - 1,20,Bourg-Fr Comté
138,138,Morteau Montleb,Jura Dolois,2 - 1,20,Bourg-Fr Comté
139,139,Pontarlier,Grandvillars,5 - 0,20,Bourg-Fr Comté
140,140,Grandvillars,Besançon Foot,2 - 3,21,Bourg-Fr Comté
141,141,Gueugnon,Dijon FCO (2),3 - 0,21,Bourg-Fr Comté
142,142,Jura Dolois,Pontarlier,4 - 2,21,Bourg-Fr Comté
143,143,Montceau-lès-M,Sochaux (2),1 - 1,21,Bourg-Fr Comté
144,144,Racing Besançon,St-Apollinaire,3 - 0,21,Bourg-Fr Comté
145,145,Selongey,Paron,0 - 1,21,Bourg-Fr Comté
146,146,Valdahon-Vercel,Morteau Montleb,2 - 2,21,Bourg-Fr Comté
147,147,St-Apollinaire,Gueugnon,2 - 0,22,Bourg-Fr Comté
148,148,Besançon Foot,Jura Dolois,4 - 1,22,Bourg-Fr Comté
149,149,Montceau-lès-M,Selongey,0 - 0,22,Bourg-Fr Comté
150,150,Morteau Montleb,Racing Besançon,1 - 3,22,Bourg-Fr Comté
151,151,Dijon FCO (2),Paron,3 - 0,22,Bourg-Fr Comté
152,152,Sochaux (2),Grandvillars,3 - 0,22,Bourg-Fr Comté
153,153,Valdahon-Vercel,Pontarlier,1 - 0,22,Bourg-Fr Comté
154,154,Grandvillars,Montceau-lès-M,2 - 4,23,Bourg-Fr Comté
155,155,Gueugnon,Morteau Montleb,3 - 1,23,Bourg-Fr Comté
156,156,Jura Dolois,Sochaux (2),4 - 1,23,Bourg-Fr Comté
157,157,Racing Besançon,Pontarlier,3 - 1,23,Bourg-Fr Comté
158,158,Selongey,Dijon FCO (2),2 - 1,23,Bourg-Fr Comté
159,159,Paron,St-Apollinaire,0 - 0,23,Bourg-Fr Comté
160,160,Valdahon-Vercel,Besançon Foot,0 - 3,23,Bourg-Fr Comté
161,161,St-Apollinaire,Dijon FCO (2),1 - 5,24,Bourg-Fr Comté
162,162,Besançon Foot,Racing Besançon,2 - 1,24,Bourg-Fr Comté
163,163,Montceau-lès-M,Jura Dolois,3 - 1,24,Bourg-Fr Comté
164,164,Morteau Montleb,Paron,2 - 0,24,Bourg-Fr Comté
165,165,Pontarlier,Gueugnon,1 - 1,24,Bourg-Fr Comté
166,166,Selongey,Grandvillars,1 - 2,24,Bourg-Fr Comté
167,167,Valdahon-Vercel,Sochaux (2),1 - 2,24,Bourg-Fr Comté
168,168,St-Apollinaire,Selongey,0 - 0,25,Bourg-Fr Comté
169,169,Gueugnon,Besançon Foot,1 - 0,25,Bourg-Fr Comté
170,170,Jura Dolois,Grandvillars,0 - 3,25,Bourg-Fr Comté
171,171,Morteau Montleb,Dijon FCO (2),3 - 2,25,Bourg-Fr Comté
172,172,Pontarlier,Paron,2 - 0,25,Bourg-Fr Comté
173,173,Racing Besançon,Sochaux (2),0 - 0,25,Bourg-Fr Comté
174,174,Valdahon-Vercel,Montceau-lès-M,1 - 5,25,Bourg-Fr Comté
175,175,Besançon Foot,Paron,2 - 0,26,Bourg-Fr Comté
176,176,Grandvillars,Valdahon-Vercel,9 - 0,26,Bourg-Fr Comté
177,177,Jura Dolois,Selongey,2 - 1,26,Bourg-Fr Comté
178,178,Montceau-lès-M,Racing Besançon,0 - 3,26,Bourg-Fr Comté
179,179,Morteau Montleb,St-Apollinaire,2 - 3,26,Bourg-Fr Comté
180,180,Pontarlier,Dijon FCO (2),1 - 0,26,Bourg-Fr Comté
181,181,Sochaux (2),Gueugnon,3 - 0,26,Bourg-Fr Comté
0,0,Thaon,Amnéville,2 - 1,1,Grand est
1,1,Mulhouse Fc,Raon-l'Étape,0 - 3,1,Grand est
2,2,Prix-lès-Méz.,Biesheim,1 - 1,1,Grand est
3,3,Epernay RC,Troyes (2),2 - 2,1,Grand est
4,4,Illkirch-Graffen,Sarre-Union,0 - 2,1,Grand est
5,5,Colmar,Strasbourg (2),1 - 0,1,Grand est
6,6,Nancy (2),St-Louis/Neuw.,4 - 0,1,Grand est
7,7,Strasbourg (2),Mulhouse Fc,1 - 1,2,Grand est
8,8,Amnéville,Epernay RC,1 - 3,2,Grand est
9,9,Biesheim,Nancy (2),1 - 1,2,Grand est
10,10,Raon-l'Étape,Illkirch-Graffen,3 - 2,2,Grand est
11,11,Sarre-Union,Thaon,1 - 2,2,Grand est
12,12,St-Louis/Neuw.,Colmar,0 - 1,2,Grand est
13,13,Troyes (2),Prix-lès-Méz.,3 - 1,2,Grand est
14,14,Nancy (2),Troyes (2),1 - 2,3,Grand est
15,15,Amnéville,Sarre-Union,0 - 4,3,Grand est
16,16,Epernay RC,Prix-lès-Méz.,0 - 1,3,Grand est
17,17,Illkirch-Graffen,Strasbourg (2),1 - 1,3,Grand est
18,18,Mulhouse Fc,St-Louis/Neuw.,2 - 0,3,Grand est
19,19,Thaon,Raon-l'Étape,1 - 4,3,Grand est
20,20,Colmar,Biesheim,2 - 0,3,Grand est
21,21,Raon-l'Étape,Amnéville,5 - 0,4,Grand est
22,22,Sarre-Union,Epernay RC,3 - 0,4,Grand est
23,23,St-Louis/Neuw.,Illkirch-Graffen,2 - 0,4,Grand est
24,24,Troyes (2),Colmar,1 - 1,4,Grand est
25,25,Prix-lès-Méz.,Nancy (2),2 - 1,4,Grand est
26,26,Strasbourg (2),Thaon,2 - 2,4,Grand est
27,27,Biesheim,Mulhouse Fc,1 - 3,4,Grand est
28,28,Illkirch-Graffen,Biesheim,1 - 3,5,Grand est
29,29,Colmar,Prix-lès-Méz.,2 - 1,5,Grand est
30,30,Amnéville,Strasbourg (2),0 - 2,5,Grand est
31,31,Epernay RC,Nancy (2),0 - 5,5,Grand est
